links,content
https://doj.gov.in/,"









DEPARTMENT OF JUSTICE
Latest News













"
https://doj.gov.in/#,"









DEPARTMENT OF JUSTICE
Latest News













"
https://doj.gov.in/history/,"Last updated: 13-01-2023
As per the Allocation of Business (Rules), 1961, Department of Justice is a part of Ministry of Law & Justice, Government of India. It is one of the oldest Ministries of the Government of India. Till 31.12.2009, Department of Justice was part of Ministry of Home Affairs and Union Home Secretary had been the Secretary of Department of Justice. Keeping in view the increasing workload and formulating many policies and programmes on Judicial Reforms in the country, a separate Department namely Department of Justice was carved out from MHA and placed under the charge of Secretary to Government of India and it started working as such from 1st January, 2010 under the Ministry of Law & Justice
Content Owned by DEPARTMENT OF JUSTICE, Ministry of Law and Justice, GOI
Developed and hosted by National Informatics Centre,
Ministry of Electronics & Information Technology, Government of India
Last Updated: Oct 18, 2024History"
https://doj.gov.in/about-department/,"Last updated: 19-04-2024
As per the Allocation of Business (Rules), 1961, Department of Justice is a part of Ministry of Law & Justice, Government of India. It is one of the oldest Ministries of the Government of India. Till 31.12.2009, Department of Justice was part of Ministry of Home Affairs and Union Home Secretary had been the Secretary of Department of Justice. Keeping in view the increasing workload and formulating many policies and programmes on Judicial Reforms in the country, a separate Department namely Department of Justice was carved out from MHA and placed under the charge of Secretary to Government of India and it started working as such from 1st January, 2010 under the Ministry of Law & Justice. The Department is housed in the Jaisalmer House, 26, Man Singh Road, New Delhi. The Organizational setup of the Department includes 04 Joint Secretaries, 08 Directors/ Deputy Secretaries and 09 Under Secretaries. The functions of the Department of Justice include the appointment, resignation and removal of the Chief Justice of India, Judges of the Supreme Court of India, Chief Justices and Judges of the High Courts and their service matters. In addition, the Department implements important schemes for Development of Infrastructure Facilities for Judiciary, setting up of Special Courts for speedy trial and disposal of cases of sensitive nature (Fast Track Special Court for cases of rape and POCSO Act), E-court Project on computerization of various courts across the country, legal aid to poor and access to justice, financial assistance to National Judicial Academy for providing training to the Judicial Officers of the country. The functions of Department of Justice are given in Allocation of Business (Rules), 1961.
Content Owned by DEPARTMENT OF JUSTICE, Ministry of Law and Justice, GOI
Developed and hosted by National Informatics Centre,
Ministry of Electronics & Information Technology, Government of India
Last Updated: Oct 18, 2024About Department"
https://doj.gov.in/about-department/vision-and-mission/,"Facilitating administration of Justice that ensures easy access and timely delivery of Justice to all.
Ensuring adequacy of courts and judges,  including servicing of appointment of  Judges to the higher judiciary, modernization of courts and procedures, policies for judicial reforms, and legal aid to the poor for improved justice delivery.
Content Owned by DEPARTMENT OF JUSTICE, Ministry of Law and Justice, GOI
Developed and hosted by National Informatics Centre,
Ministry of Electronics & Information Technology, Government of India
Last Updated: Oct 18, 2024Vision and Mission
VISION:
MISSION:"
https://doj.gov.in/about-department/function-of-department/,"Last Updated : 19-09-2022
Content Owned by DEPARTMENT OF JUSTICE, Ministry of Law and Justice, GOI
Developed and hosted by National Informatics Centre,
Ministry of Electronics & Information Technology, Government of India
Last Updated: Oct 18, 2024Functions of Department"
https://doj.gov.in/organization-chart/,"Last Updated : 17-10-2024

Content Owned by DEPARTMENT OF JUSTICE, Ministry of Law and Justice, GOI
Developed and hosted by National Informatics Centre,
Ministry of Electronics & Information Technology, Government of India
Last Updated: Oct 18, 2024Organization Chart"
https://doj.gov.in/about-department/administrative-setup/,"Last Updated :19-04-2024
Content Owned by DEPARTMENT OF JUSTICE, Ministry of Law and Justice, GOI
Developed and hosted by National Informatics Centre,
Ministry of Electronics & Information Technology, Government of India
Last Updated: Oct 18, 2024Administrative Setup
Work Allocated to Joint Secretaries
Shri Jagannath Srinivasan, Joint Secretary
Shri Pravash Prashun Pandey, Joint Secretary
Shri Niraj Kumar Gayagi, Joint Secretary
Shri Gaurav Masaldan, Joint Secretary"
https://doj.gov.in/whos-who/,"Last Updated : 17-10-2024
Content Owned by DEPARTMENT OF JUSTICE, Ministry of Law and Justice, GOI
Developed and hosted by National Informatics Centre,
Ministry of Electronics & Information Technology, Government of India
Last Updated: Oct 18, 2024Who’s Who"
https://doj.gov.in/monthly-achievements-month-wise/,"Content Owned by DEPARTMENT OF JUSTICE, Ministry of Law and Justice, GOI
Developed and hosted by National Informatics Centre,
Ministry of Electronics & Information Technology, Government of India
Last Updated: Oct 18, 2024Monthly Achievements"
